,id,type_ids,lat,lon,parent_id,scientific_name,en_name,en_wikipedia_url
118,672716,93,30.2706860487576,-97.7514348249252,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
119,672965,93,30.2630964795964,-97.7450743720002,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
120,673070,93,30.2951130765268,-97.7401528711393,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
121,673204,93,30.293376838640004,-97.73866488316759,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
122,673361,93,30.292450163796396,-97.747024416847,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
123,673794,93,30.2634932492029,-97.7544410278885,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
124,673836,93,30.261707792783398,-97.7511735398036,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
125,673869,93,30.274547102737998,-97.75130903995691,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
126,673908,93,30.297444018024997,-97.73892123673849,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
127,673913,93,30.2958884435612,-97.7393191711273,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
128,673921,93,30.295164683137497,-97.7399603371008,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
129,673938,93,30.2952509055653,-97.7412233483414,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
130,674010,93,30.2961238170022,-97.7395935946369,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
131,674011,93,30.294866764016103,-97.74010025304779,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
132,674014,93,30.296943776606103,-97.73929727244492,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
133,674015,93,30.298166973659896,-97.7385190192402,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
134,674016,93,30.2979718784162,-97.73884853794641,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
135,674017,93,30.297764330992,-97.7388278420806,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
136,674102,93,30.2950106795752,-97.7405035293986,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
137,674137,93,30.265537944143702,-97.73920271011801,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
138,674272,93,30.3021106416359,-97.7466492488193,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
139,674320,93,30.2963214964959,-97.7395044819585,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
140,674755,93,30.294479782832397,-97.7388577874605,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
141,674836,93,30.293423484863702,-97.7384584132739,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
142,675007,93,30.263876594219,-97.7553796380694,144.0,Carya illinoinensis,Pecan,http://en.wikipedia.org/wiki/Carya_illinoinensis
