,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
6025193,Carya illinoinensis,Pecan,-97.73394117,30.28094283,Mahonia trifoliolata,Agarita,-97.73384399999999,30.280991999999998,35.48069554883419,1
6025235,Carya illinoinensis,Pecan,-97.73394117,30.28094283,Morus alba,White mulberry,-97.73400584,30.28100248,29.809831068754868,1
6025236,Carya illinoinensis,Pecan,-97.73394117,30.28094283,Morus alba,White mulberry,-97.73402676,30.28091096,29.363993838712545,1
6025237,Carya illinoinensis,Pecan,-97.73394117,30.28094283,Morus alba,White mulberry,-97.73394776,30.28100595,23.120374832360007,1
6025238,Carya illinoinensis,Pecan,-97.73394117,30.28094283,Morus alba,White mulberry,-97.73397726,30.2808846,24.094357301336952,1
6045154,Carya illinoinensis,Pecan,-97.73394117,30.28094283,Parthenocissus quinquefolia,Virginia creeper,-97.7340833099,30.2809832432,47.14418016762747,1
6045521,Carya illinoinensis,Pecan,-97.73401725,30.28103695,Morus alba,White mulberry,-97.73400584,30.28100248,13.078761694400676,1
6045522,Carya illinoinensis,Pecan,-97.73401725,30.28103695,Morus alba,White mulberry,-97.73402676,30.28091096,46.06028649182652,1
6045523,Carya illinoinensis,Pecan,-97.73401725,30.28103695,Morus alba,White mulberry,-97.73394776,30.28100595,24.640591961606,1
6045525,Carya illinoinensis,Pecan,-97.73401725,30.28103695,Morus alba,White mulberry,-97.73390415,30.28109918,42.24868095762717,1
6045540,Carya illinoinensis,Pecan,-97.73401725,30.28103695,Morus alba,White mulberry,-97.7340667,30.28105715,17.233680774860442,1
6065440,Carya illinoinensis,Pecan,-97.73401725,30.28103695,Parthenocissus quinquefolia,Virginia creeper,-97.7340833099,30.2809832432,28.583170127361452,1
6065774,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.73366692,30.281357300000003,46.40312649890069,1
6065775,Carya illinoinensis,Pecan,-97.73366291,30.28148445,Morus alba,White mulberry,-97.7336246,30.28145614,15.884800827158989,1
